Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
414;Xavier Tillman Sr.;C;25;MEM;7;5;25.9;3.9;9.1;0.422;1;2.9;0.35;2.9;6.3;0.455;0.477;0.6;1.3;0.444;2;4.7;6.7;2.4;1.6;0.9;1.4;2.9;9.3
415;Obi Toppin;PF;25;IND;11;11;22.7;4.5;7.4;0.617;0.7;2.4;0.308;3.8;5;0.764;0.667;1.3;1.5;0.824;0.9;2.4;3.3;0.5;0.8;0.3;0.5;1.7;11.1
416;Karl-Anthony Towns;PF;28;MIN;12;12;33.3;8.1;16.5;0.49;2;5.6;0.358;6.1;10.9;0.557;0.551;3.5;3.8;0.913;1.1;7.9;9;2.8;0.8;0.7;2.3;3;21.7
417;Gary Trent Jr.;SG;25;TOR;9;2;27.6;3.9;10.3;0.376;2;5.2;0.383;1.9;5.1;0.37;0.473;1;2.1;0.474;0.4;2;2.4;0.9;1;0.1;0.9;1.1;10.8
418;P.J. Tucker;PF;38;TOT;10;3;17.4;0.6;1.7;0.353;0.5;1.4;0.357;0.1;0.3;0.333;0.5;0.3;0.3;1;1.3;2.1;3.4;0.4;0.6;0.3;0.3;2.4;2
418;P.J. Tucker;PF;38;PHI;3;3;22;0.7;1.7;0.4;0.7;1.7;0.4;0;0;0;0.6;0;0;0;0.3;4.3;4.7;0;1;0.7;0.7;3;2
418;P.J. Tucker;PF;38;LAC;7;0;15.4;0.6;1.7;0.333;0.4;1.3;0.333;0.1;0.4;0.333;0.458;0.4;0.4;1;1.7;1.1;2.9;0.6;0.4;0.1;0.1;2.1;2
419;Myles Turner;C;27;IND;11;11;26.6;6.3;12.2;0.515;1.9;4.8;0.396;4.4;7.4;0.593;0.593;3.5;4.4;0.792;1.5;6;7.5;1.5;0.5;1.7;1.6;3.5;17.9
420;Hunter Tyson;PF;23;DEN;4;0;2.8;0.3;0.8;0.333;0;0.5;0;0.3;0.3;1;0.333;0;0;0;0;0.8;0.8;0;0;0;0;1;0.5
421;Stanley Umude;SG;24;DET;9;0;8.8;1;2.1;0.474;0.8;1.4;0.538;0.2;0.7;0.333;0.658;1.3;1.4;0.923;0.1;1.6;1.7;0.1;0.2;0.2;0.3;1.2;4.1
422;Jonas Valan?i?nas;C;31;NOP;13;13;25.4;5.5;10.2;0.534;0.8;2.2;0.379;4.6;8;0.577;0.575;1.8;2.2;0.828;2;6.4;8.4;2.2;0.3;1.6;1.5;2.8;13.6
423;Fred VanVleet;PG;29;HOU;10;10;36.4;6;15.2;0.395;3.3;8.5;0.388;2.7;6.7;0.403;0.503;2.1;2.4;0.875;0.3;3.6;3.9;8.1;0.6;0.4;1.7;1.9;17.4
